radius	n_rotors	profile	elevation	wind_speed	tension_with_snel	tension_without_snel	snel_boost_pct
3.0	2	bottom_lifty	55.0	12.0	673.1307536906364	673.8317403405466	-0.10402992437784564
3.0	2	graded	45.0	6.0	161.02959646542558	165.4501350183756	-2.6718252919280134
3.0	2	graded	45.0	8.0	308.8357957656682	309.556907895653	-0.23294977808341896
3.0	2	graded	45.0	10.0	471.1095615680426	471.78058944854394	-0.14223304127151745
3.0	2	graded	45.0	12.0	673.2797130015263	673.9727752739317	-0.10283238401191161
3.0	2	graded	55.0	6.0	163.94809897627692	168.36942065053174	-2.6259647726838273
3.0	2	graded	55.0	8.0	308.98982277716925	309.6068124281534	-0.1992816779919211
3.0	2	graded	55.0	10.0	471.0377149047546	471.70859609795343	-0.14222365221844274
3.0	2	graded	55.0	12.0	673.1307536906364	673.8317403405466	-0.10402992437784564
3.0	3	uniform	45.0	6.0	244.9482234252177	249.7860514259546	-1.9367886930111557
3.0	3	uniform	45.0	8.0	463.23325171981935	464.3025922886307	-0.23031113471505393
3.0	3	uniform	45.0	10.0	706.7803292185199	707.9238980642318	-0.16153838694228576
3.0	3	uniform	45.0	12.0	1010.0875022861109	1011.1328057988485	-0.10337944795607609
3.0	3	uniform	55.0	6.0	249.1744719688547	249.3141288430305	-0.056016429884610905
3.0	3	uniform	55.0	8.0	463.41475717902534	464.33867005999497	-0.19897392583095647
3.0	3	uniform	55.0	10.0	706.6028283512572	707.6187921667266	-0.14357501902380213
3.0	3	uniform	55.0	12.0	1009.6232614429242	1010.6773062335229	-0.10429093283263709
3.0	3	top_draggy	45.0	6.0	244.9482234252177	249.7860514259546	-1.9367886930111557
3.0	3	top_draggy	45.0	8.0	463.23325171981935	464.3025922886307	-0.23031113471505393
3.0	3	top_draggy	45.0	10.0	706.7803292185199	707.9238980642318	-0.16153838694228576
3.0	3	top_draggy	45.0	12.0	1010.0875022861109	1011.1328057988485	-0.10337944795607609
3.0	3	top_draggy	55.0	6.0	249.1744719688547	249.3141288430305	-0.056016429884610905
3.0	3	top_draggy	55.0	8.0	463.41475717902534	464.33867005999497	-0.19897392583095647
3.0	3	top_draggy	55.0	10.0	706.6028283512572	707.6187921667266	-0.14357501902380213
3.0	3	top_draggy	55.0	12.0	1009.6232614429242	1010.6773062335229	-0.10429093283263709
3.0	3	bottom_lifty	45.0	6.0	244.9482234252177	249.7860514259546	-1.9367886930111557
3.0	3	bottom_lifty	45.0	8.0	463.23325171981935	464.3025922886307	-0.23031113471505393
