radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	total_lift	profile_min	profile_max	tip_speed	tip_reynolds
2.0	2	15.0	top_draggy	55.0	6.0	543.9050612838588	596.1897285738855	0.0	543.9050612838588	12.287280664334876	87343.64932003153
2.0	2	15.0	top_draggy	55.0	8.0	1008.4206570350135	1059.8928507980186	0.0	1008.4206570350135	16.383040885779835	116458.19909337537
2.0	2	15.0	top_draggy	55.0	10.0	1605.6549944293552	1656.082579371904	0.0	1605.6549944293552	20.478801107224793	145572.74886671922
2.0	2	15.0	top_draggy	55.0	12.0	2335.608073466884	2384.758914295542	0.0	2335.608073466884	24.574561328669752	174687.29864006306
2.0	2	15.0	bottom_lifty	45.0	6.0	562.3238745968998	627.5668213608221	0.0	562.3238745968998	13.594616805549748	107677.51743897358
2.0	2	15.0	bottom_lifty	45.0	8.0	1051.6662023219837	1115.6743490859062	0.0	1051.6662023219837	18.126155740732997	143570.02325196477
2.0	2	15.0	bottom_lifty	45.0	10.0	1680.820623682806	1743.2411704467281	0.0	1680.820623682806	22.65769467591625	179462.52906495592
2.0	2	15.0	bottom_lifty	45.0	12.0	2449.787138679366	2510.2672854432885	0.0	2449.787138679366	27.189233611099496	215355.03487794715
2.0	2	15.0	bottom_lifty	55.0	6.0	543.9050612838588	596.1897285738855	0.0	543.9050612838588	12.287280664334876	87343.64932003153
2.0	2	15.0	bottom_lifty	55.0	8.0	1008.4206570350135	1059.8928507980186	0.0	1008.4206570350135	16.383040885779835	116458.19909337537
2.0	2	15.0	bottom_lifty	55.0	10.0	1605.6549944293552	1656.082579371904	0.0	1605.6549944293552	20.478801107224793	145572.74886671922
2.0	2	15.0	bottom_lifty	55.0	12.0	2335.608073466884	2384.758914295542	0.0	2335.608073466884	24.574561328669752	174687.29864006306
