radius	n_rotors	spacing	profile	elevation	mean_anchor_tension	tension_per_kg	tension_cv	max_tension	min_tension
0.5	3	30.0	bottom_lifty	55.0	49.65454907127558	3.310303271418372	1.9178499692141706	183.7108707516076	-54.61147890231598
0.5	3	30.0	bottom_lifty	65.0	59.055224501577776	3.937014966771852	1.4584331243713677	180.29872621829946	-35.245276833650216
0.5	3	30.0	graded	45.0	34.089831704357266	2.272655446957151	2.8786100485018533	172.23042626031497	-73.35285295027653
0.5	3	30.0	graded	55.0	53.24478040816058	3.5496520272107053	1.836431245190268	190.89133342537758	-53.81364971634154
0.5	3	30.0	graded	65.0	65.29999103944704	4.353332735963136	1.3868946524106813	192.788259294038	-33.85755093634594
0.5	4	5.0	uniform	45.0	26.652610184814172	1.3326305092407087	4.408064007785449	192.03957083842897	-101.98169254577513
0.5	4	5.0	uniform	55.0	53.437099816001776	2.671854990800089	2.206380474688558	219.4098964440788	-75.65285311694703
0.5	4	5.0	uniform	65.0	64.93915502402145	3.246957751201072	1.617414056179996	212.7960130015681	-50.06062340295931
0.5	4	5.0	top_draggy	45.0	24.570841848103342	1.228542092405167	4.721351454544369	187.8760341650073	-102.44430773171086
0.5	4	5.0	top_draggy	55.0	46.3054943572105	2.315274717860525	2.4367837145590054	205.14668552649624	-77.23765433001175
0.5	4	5.0	top_draggy	65.0	58.674507331540624	2.9337253665770313	1.7142583871407546	200.26671761660646	-51.45276733462172
