radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	autorotation_rpm	tip_speed_bem	PC1	PC2	PC3
2.0	2	15.0	graded	55.0	6.0	47.597355751528966	103.57467335406862	21.692628860473636	-0.17293436484947183	-1.0118114714290105	-0.6076160842164764
2.0	2	15.0	graded	55.0	8.0	166.14836840380008	127.54391995682664	26.712736129760746	0.3280107072058592	-0.06717658883647865	-0.48090205976835737
2.0	2	15.0	graded	55.0	10.0	290.40158783711126	151.23057886632395	31.67365837097168	0.8225987127304453	0.8754238320443115	-0.35482074462996005
2.0	2	15.0	graded	55.0	12.0	433.1517377270099	178.3547718089809	37.35453605651856	1.394517164950515	1.8427724338970912	-0.221042845963208
2.0	3	15.0	uniform	45.0	6.0	88.49922649956592	101.39267380105969	21.235631942749023	-0.2176387557446277	-1.1866740250663275	0.48297692626643723
2.0	3	15.0	uniform	45.0	8.0	277.68924254157184	123.95267934658509	25.960588455200195	0.25160416022841253	-0.25218483190730306	0.6065356826055136
2.0	3	15.0	uniform	45.0	10.0	436.56193210163866	146.91781528600004	30.77039527893066	0.7299608519567432	0.6852210568272461	0.7310015193942283
2.0	3	15.0	uniform	45.0	12.0	633.8059852971097	170.3831578525512	35.68496513366699	1.2195701455628596	1.6262281329281865	0.8565873107928622
2.0	3	15.0	uniform	55.0	6.0	88.2699547820275	101.19882392549582	21.195032119750977	-0.2238407121393469	-1.1919495596941094	0.26283035370117924
2.0	3	15.0	uniform	55.0	8.0	277.807543465275	123.95426395047252	25.960920333862305	0.24979867975215203	-0.2560533556316377	0.38682668470305387
2.0	3	15.0	uniform	55.0	10.0	436.5628407269279	146.89087701991352	30.764753341674805	0.7275137236437352	0.6811471855656516	0.5112286592436847
2.0	3	15.0	uniform	55.0	12.0	632.4123975030984	170.10954958131936	35.62766075134277	1.2115739516987154	1.6203783857425111	0.6362621604598135
2.0	3	15.0	top_draggy	45.0	6.0	126.79965771862784	103.17957878479952	21.60988044738769	-0.16978652701354402	-1.1688420749410988	0.4888443351280075
2.0	3	15.0	top_draggy	45.0	8.0	272.26727952570843	127.54391995682664	26.712736129760746	0.340046555817482	-0.22136274868430006	0.6164429699755135
2.0	3	15.0	top_draggy	45.0	10.0	426.44815767270615	151.23057886632395	31.67365837097168	0.834634561342068	0.72123767219649	0.7425242851139106
2.0	3	15.0	top_draggy	45.0	12.0	629.9400403884448	178.37906906858836	37.3596248626709	1.407099602460108	1.6887611997291576	0.8763565849549565
2.0	3	15.0	top_draggy	55.0	6.0	84.35494339348934	101.13966538036462	21.182641983032227	-0.21751735728667573	-1.1874081585082017	0.2645644559506414
2.0	3	15.0	top_draggy	55.0	8.0	272.3408209603835	127.54391995682664	26.712736129760746	0.33820542823918004	-0.22524268060514918	0.39673042417038246
2.0	3	15.0	top_draggy	55.0	10.0	426.4456695155351	151.23057886632395	31.67365837097168	0.832793433763766	0.7173577402756409	0.5228117393087796
2.0	3	15.0	top_draggy	55.0	12.0	629.1080989524606	178.37906906858836	37.3596248626709	1.405258474881806	1.6848812678083087	0.6566440391498255
2.0	3	15.0	bottom_lifty	45.0	6.0	94.97238462178868	103.53822746465744	21.68499565124512	-0.16351898217942826	-1.1674596139716562	0.4891923166671386
2.0	3	15.0	bottom_lifty	45.0	8.0	191.04020058756112	127.54391995682664	26.712736129760746	0.3382459732228585	-0.22256234285929236	0.6159879428766986
2.0	3	15.0	bottom_lifty	45.0	10.0	427.1770401437601	151.34361394362824	31.697332382202152	0.8353768053597428	0.7208518627061946	0.7423223417389844
2.0	3	15.0	bottom_lifty	45.0	12.0	631.3108059541789	178.58665217784338	37.40310096740723	1.409968790232928	1.6890560792975564	0.8763663331060868
2.0	3	15.0	bottom_lifty	55.0	6.0	92.79570554309524	103.39772591997082	21.65556907653809	-0.1685208194720816	-1.1723510726501187	0.2691651901584823
2.0	3	15.0	bottom_lifty	55.0	8.0	254.76295998956675	127.54391995682664	26.712736129760746	0.3364048456445565	-0.22644227478014148	0.39627539707156745
2.0	3	15.0	bottom_lifty	55.0	10.0	426.7744927835978	151.13074882141507	31.65275001525879	0.8287470837405249	0.7154394297202392	0.5221331943416704
